id,popularity,budget,revenue,runtime,vote_count,vote_average,release_year,budget_adj,revenue_adj,genre_encoded,month of release
22267,0.198126,38000000,635096,138,15,6.6,1999,49744008.17,831374.2267,6,11
18212,0.195796,0,0,101,12,5.8,1999,0,0,6,2
18892,0.195048,3000000,3076820,87,48,5.6,1999,3927158.54,4027719.979,3,1
10496,0.193797,0,0,91,10,4.2,1999,0,0,11,10
46435,0.187628,0,0,160,14,6.5,1999,0,0,3,9
16406,0.187319,13000000,27500000,94,33,5.7,1999,17017687.01,35998953.28,3,8
31582,0.186474,0,4488529,112,24,6.2,1999,0,5875721.664,3,11
47288,0.173433,25000000,12000000,87,14,4.7,1999,32726321.16,15708634.16,2,3
10916,0.170248,0,0,94,13,6.8,1999,0,0,0,1
28029,0.167869,14000000,0,107,11,6.4,1999,18326739.85,0,6,1
10359,0.166168,10000000,0,103,19,6.1,1999,13090528.47,0,4,6
14005,0.081035,0,0,114,10,6.3,1999,0,0,3,5
14578,0.163337,7000000,7292175,96,12,5.6,1999,9163369.926,9545842.442,14,8
54004,0.162638,0,0,87,28,6.1,1999,0,0,3,11
5319,0.161076,0,0,188,16,6.6,1999,0,0,6,6
25752,0.153649,0,0,82,11,3.4,1999,0,0,11,10
12479,0.175782,12000000,0,110,15,4.8,1999,15708634.16,0,3,2
28902,0.145004,0,0,100,15,4.7,1999,0,0,6,1
14484,0.144508,0,239894,106,11,4.6,1999,0,314033.9236,6,10
17078,0.134902,0,0,90,17,6.8,1999,0,0,7,2
194113,0.132643,4250000,0,33,15,6.8,1999,5563474.598,0,3,12
12594,0.50812,2500000,0,96,18,4.9,1999,3272632.116,0,8,3
17709,0.129744,70000000,0,77,19,3.5,1999,91633699.26,0,3,8
16508,0.127664,0,0,77,10,5.4,1999,0,0,2,3
29698,0.126159,0,0,94,10,7.2,1999,0,0,6,11
17870,0.122365,0,0,65,13,7.4,1999,0,0,3,7
1812,0.118187,450000,2049595,89,10,6.5,1999,589073.781,2683028.169,3,7
22345,0.116694,12000000,36450736,97,34,3.8,1999,15708634.16,47715939.72,3,3
25172,0.107256,0,0,90,13,4.5,1999,0,0,1,1
10381,0.105168,0,0,93,17,5.9,1999,0,0,6,1
28918,0.100043,0,0,185,15,7.3,1999,0,0,6,12
64202,0.096582,0,0,132,24,6.4,1999,0,0,2,1
83965,0.083178,0,0,95,12,5.5,1999,0,0,16,5
10557,0.238748,3800000,28200000,97,24,6.5,1999,4974400.817,36915290.27,3,5
39964,0.090186,1,100,95,14,4.8,1999,1.309052847,130.9052847,3,4
199620,0.089789,9210000,0,180,13,7.4,1999,12056376.72,0,5,10
24020,0.10041,0,0,88,12,4.9,1999,0,0,16,7
36251,0.19893,0,0,85,21,4.2,1999,0,0,3,12
43423,0.082451,0,0,118,14,5.5,1999,0,0,6,9
10482,0.077584,0,0,89,14,5.6,1999,0,0,3,12
10368,0.079104,12000000,21001563,117,17,5.7,1999,15708634.16,27492155.83,3,3
32874,0.064295,0,0,120,15,4.7,1999,0,0,3,1
34513,0.051594,0,0,65,10,6.9,1999,0,0,16,2
53915,0.034182,0,0,90,18,5.2,1999,0,0,3,10
40863,0.044502,0,0,94,11,6.9,1999,0,0,5,3
17681,0.043438,0,0,70,24,6.8,1999,0,0,2,11
310154,0.038156,0,0,257,23,5.2,1999,0,0,17,2
185789,0.181712,0,0,88,15,5.9,1999,0,0,16,1
31524,0.015074,0,0,162,12,7,1999,0,0,9,4
120,8.575419,93000000,871368364,178,6079,7.8,2001,114528394.9,1073079786,1,12
671,8.021423,125000000,976475550,152,4265,7.2,2001,153936014.6,1202518036,1,11
1018,4.436367,15000000,20117339,147,709,7.4,2001,18472321.75,24774263.92,17,5
141,3.851009,6000000,1270522,113,1777,7.5,2001,7388928.7,1564632.745,8,1
585,3.204295,115000000,562816256,92,3899,7.3,2001,141621133.4,693101531.1,8,11
644,2.971372,100000000,235926552,146,1133,6.6,2001,123148811.7,290540745.2,6,6
808,2.918566,60000000,484409218,90,2284,7.1,2001,73889287,596544195.6,1,5
634,2.717399,25000000,281929795,97,751,6.5,2001,30787202.92,347193192.3,3,4
161,2.642249,85000000,450717150,116,2645,7,2001,104676489.9,555052814.2,17,12
676,2.478879,140000000,449220945,183,1044,6.6,2001,172408336.3,553210255.5,10,5
1734,2.449323,98000000,433013274,130,1372,5.8,2001,120685835.4,533250701.3,0,4
10865,2.217239,120000000,186053725,95,689,6.5,2001,147778574,229122951.4,2,6
1995,2.179727,115000000,274703340,100,1510,5.6,2001,141621133.4,338293898.8,1,6
453,2.169826,60000000,313542341,135,1786,7.5,2001,73889287,386123667,6,12
2770,2.116602,30000000,287553595,108,777,5.9,2001,36944643.5,354118835.2,3,8
9880,2.061559,37000000,165335153,115,534,6.3,2001,45565060.32,203608276.2,3,8
824,1.925281,52500000,179213434,127,714,7.2,2001,64653126.13,220699214.3,14,3
869,1.862114,100000000,362211740,119,702,5.5,2001,123148811.7,446059453.5,17,7
9428,1.857978,21000000,71441250,110,679,7.3,2001,25861250.45,87979050.42,3,10
4133,1.846848,53000000,83282296,124,788,7.3,2001,65268870.18,102561157.9,4,4
853,1.839325,70000000,96976270,131,583,7.1,2001,86204168.17,119425124.1,18,3
855,1.735123,92000000,172989651,144,1201,7.1,2001,113296906.7,213034699.5,0,12
8835,1.697753,18000000,141774679,96,480,6.1,2001,22166786.1,174593832.4,3,7
9476,1.692141,65000000,117487473,132,521,6.5,2001,80046727.59,144684426.9,1,5
9398,1.581446,28000000,60780981,89,791,6.1,2001,34481667.27,74851055.82,3,9
11397,1.456526,16000000,66468332,89,223,5.3,2001,19703809.87,81854960.99,3,12
4248,1.450364,45000000,141220678,83,474,5.5,2001,55416965.25,173911586.8,3,7
5175,1.447916,90000000,347325802,90,622,6.5,2001,110833930.5,427727597.8,0,8
2034,1.446063,45000000,104876233,122,1029,7.2,2001,55416965.25,129153834.7,0,10
1933,1.406682,17000000,209947037,101,872,7.1,2001,20935297.98,258547281.2,11,8
12589,1.213215,25000000,80936232,83,139,5.5,2001,30787202.92,99672007.92,1,12
2294,1.20913,22000000,33788161,104,244,6.3,2001,27092738.57,41609718.76,3,8
9778,1.195555,28000000,77516304,90,310,6.6,2001,34481667.27,95460407.23,3,10
10992,1.134012,60000000,93375151,87,182,5,2001,73889287,114990388.9,3,7
1903,1.131878,68000000,203388341,136,628,6.3,2001,83741191.94,250470325,6,12
13931,1.125434,0,0,4,82,6.8,2001,0,0,2,12
2140,1.065364,25000000,64437847,98,152,6.3,2001,30787202.92,79354442.85,0,7
1535,1.063015,92000000,143049560,126,342,6.5,2001,113296906.7,176163833.2,0,11
9705,1.062734,102000000,147080413,99,606,6,2001,125611787.9,181127780.8,0,6
9889,1.061903,40000000,141069860,114,394,5.5,2001,49259524.67,173725856.2,3,11
15167,1.046249,0,0,76,73,6.5,2001,0,0,2,9
18269,0.993311,0,0,69,126,5.8,2001,0,0,2,2
9989,0.976997,30000000,17833000,108,82,5.6,2001,36944643.5,21961127.59,0,1
2114,0.974222,137000000,85131830,106,257,5.6,2001,168713872,104838837,1,7
9081,0.952027,0,3176880,99,126,7.2,2001,0,3912289.968,2,1
2057,0.945429,42000000,35402320,118,115,5.8,2001,51722500.9,43597536.38,6,8
10808,0.913069,70000000,176104344,87,233,4.9,2001,86204168.17,216870406.9,3,6
8007,0.90472,40000000,91753202,106,270,5.9,2001,49259524.67,112992977.9,0,11
8922,0.899764,10000000,59217789,90,384,6,2001,12314881.17,72926003.45,11,7
11232,0.883228,0,0,118,248,5.8,2001,0,0,3,12
11467,0.878721,0,0,102,153,5.4,2001,0,0,3,7
768,0.875299,35000000,74558115,122,399,6.4,2001,43102084.08,91817432.63,11,10
2100,0.865407,72000000,27642707,131,154,7.1,2001,88667144.4,34041665.18,0,10
2043,0.844235,60000000,105178561,104,215,5.8,2001,73889287,129526148,4,4
39939,0.813396,3000000,18492362,100,224,6.7,2001,3694464.35,22773124.05,3,1
2018,0.798104,35000000,94728529,103,245,5.4,2001,43102084.08,116657057.8,3,1
9896,0.787835,48000000,85498534,112,261,5.9,2001,59111429.6,105290428.6,1,7
5279,0.781747,19800000,87754044,137,107,6.6,2001,24383464.71,108068062.4,6,11
11470,0.774598,11000000,16000000,91,138,4.3,2001,13546369.28,19703809.87,11,7
6073,0.746989,57000000,147845033,123,258,5.7,2001,70194822.65,182069401.3,0,3
10866,0.742951,23000000,36642838,97,166,6.2,2001,28324226.68,45125219.56,13,10
10950,0.731548,22000000,40270895,132,292,7.2,2001,27092738.57,49593128.64,6,12
467,0.718104,0,0,102,92,6.2,2001,0,0,4,4
10596,0.711201,17000000,0,100,48,4.8,2001,20935297.98,0,0,5
10829,0.705609,0,0,104,67,5.2,2001,0,0,0,10
2144,0.698061,0,0,93,37,5.5,2001,0,0,0,4
12508,0.693522,57000000,16991902,105,100,5.9,2001,70194822.65,20925325.39,12,9
22643,0.682227,0,0,70,25,6.4,2001,0,0,2,11
167,0.676114,48000000,50315140,120,330,7,2001,59111429.6,61962497,6,10
12658,0.6649,23000000,0,97,73,6,2001,28324226.68,0,3,3
17203,0.65309,0,637769,91,16,5.4,2001,0,785404.9447,3,3
12103,0.65104,50000000,100020092,113,106,6.1,2001,61574405.83,123173554.7,17,9
9378,0.648659,0,0,91,221,5.2,2001,0,0,11,10
9290,0.635377,21150000,39438674,92,75,4.8,2001,26045973.67,48568258.37,1,4
12149,0.625438,11000000,13110448,100,136,6.8,2001,13546369.28,16145360.92,6,11
21448,0.624372,0,0,65,28,6.4,2001,0,0,2,11
5852,0.612923,53000000,29700000,102,51,5.6,2001,65268870.18,36575197.07,6,5
11457,0.605248,18000000,0,125,60,7,2001,22166786.1,0,6,10
6440,0.605017,0,0,111,48,6.3,2001,0,0,6,12
11313,0.589432,31000000,24185781,101,60,6.3,2001,38176131.62,29784501.89,6,9
1548,0.580121,0,0,111,204,6.9,2001,0,0,3,7
2176,0.578315,30000000,23619609,106,108,5.3,2001,36944643.5,29087267.8,6,9
2749,0.572909,60000000,56359980,120,84,5.7,2001,73889287,69406645.63,0,3
11065,0.56968,0,16017403,95,37,5.8,2001,0,19725241.45,6,8
20857,0.565877,32000000,40222729,106,62,6.4,2001,39407619.73,49533812.78,3,9
9397,0.561179,80000000,98376292,101,362,5.4,2001,98519049.34,121149234.6,0,6
10050,0.560135,10000000,0,87,39,5.6,2001,12314881.17,0,3,3
10833,0.555793,35000000,0,123,144,5.6,2001,43102084.08,0,4,3
8489,0.554186,107000000,87713825,157,253,6.7,2001,131769228.5,108018533.2,6,12
331214,0.537593,0,125000000,705,313,8,2001,0,153936014.6,0,9
10972,0.530703,1500000,373967,100,94,6,2001,1847232.175,460535.9165,11,8
11371,0.526992,68000000,71069884,124,217,6.6,2001,83741191.94,87521717.6,0,7
1365,0.522846,4000000,44909486,111,107,6.4,2001,4925952.467,55305498.34,6,11
10956,0.521071,17700000,30987695,91,122,5.5,2001,21797339.67,38160978.16,13,4
25587,0.51549,0,0,75,15,6.1,2001,0,0,1,12
10877,0.510452,50000000,79958599,101,52,5,2001,61574405.83,98468064.5,0,3
2575,0.509878,21000000,28008462,109,45,5.7,2001,25861250.45,34492088.12,6,2
1921,0.499611,40000000,65754228,119,157,6.5,2001,49259524.67,80975550.4,6,2
8386,0.499301,12000000,31155435,93,126,6.5,2001,14777857.4,38367547.97,3,12
16300,0.493548,0,0,87,51,4.7,2001,0,0,8,2
10646,0.493288,11000000,23430766,95,37,4.8,2001,13546369.28,28854709.89,3,3
6007,0.478397,0,0,89,27,6.6,2001,0,0,3,3
11086,0.472538,72000000,37317558,152,82,6.5,2001,88667144.4,45956129.22,6,12
12138,0.471789,62000000,18720175,125,85,5.4,2001,76352263.24,23053673.05,0,2
15024,0.467592,0,0,183,23,6,2001,0,0,6,7
23949,0.467091,100000,490475,86,28,6.6,2001,123148.8117,604014.134,6,1
28635,0.455335,0,0,89,15,4.1,2001,0,0,11,10
14034,0.455072,45000000,0,94,31,5.1,2001,55416965.25,0,0,5
14752,0.453846,2079000,4099000,183,32,7.3,2001,2560263.795,5047869.79,6,7
10016,0.451722,28000000,14010832,98,135,4.6,2001,34481667.27,17254173.11,0,8
10878,0.447612,22000000,19351569,90,75,5.2,2001,27092738.57,23831227.26,3,2
